CustomerId,Recency,Frequency,Total_Spending,Average_Transaction_Value,Max_Transaction_Value,Transaction_Value_Std,Platform_Fraud_Occurrences,Default_Proxy
CustomerId_1,84,1,10000,10000.0,10000,0.0,0,0
CustomerId_10,84,1,10000,10000.0,10000,0.0,0,0
CustomerId_1001,90,5,30400,6080.0,10000,4100.2438951847735,0,0
CustomerId_1002,26,11,4775,434.09090909090907,1500,518.8054461058509,0,0
CustomerId_1003,12,6,32000,5333.333333333333,10000,3945.461527713414,0,0
CustomerId_1004,53,1,2000,2000.0,2000,0.0,0,1
CustomerId_1005,47,9,61200,6800.0,10000,4106.093033529562,0,0
CustomerId_1006,65,1,1000,1000.0,1000,0.0,0,1
CustomerId_1007,82,1,28000,28000.0,28000,0.0,0,0
CustomerId_1008,66,2,20000,10000.0,10000,0.0,0,0
CustomerId_1009,28,1,500,500.0,500,0.0,0,1
CustomerId_1010,42,7,31975,4567.857142857143,10170,4887.057752491828,0,0
CustomerId_1012,5,74,132894,1795.8648648648648,22000,3385.648564258615,0,0
CustomerId_1014,50,8,763880,95485.0,300000,119332.84340149493,0,0
CustomerId_1016,5,5,32000,6400.0,10000,3781.5340802378078,0,0
CustomerId_1020,27,203,298605,1470.960591133005,10000,2481.912227571705,0,0
CustomerId_1021,78,1,5000,5000.0,5000,0.0,0,1
CustomerId_1022,35,1,7000,7000.0,7000,0.0,0,0
CustomerId_1025,12,16,19800,1237.5,5000,1688.8852339141738,0,0
CustomerId_1027,1,14,27230,1945.0,10000,3464.629517323272,0,0
CustomerId_1028,26,1,500,500.0,500,0.0,0,1
CustomerId_1029,8,9,75000,8333.333333333334,21000,9357.48363610645,0,0
CustomerId_1030,31,8,4650,581.25,1000,471.2729721570231,0,0
CustomerId_1031,15,50,145322,2906.44,23000,4439.862404376505,0,0
CustomerId_1032,34,2,2000,1000.0,1000,0.0,0,1
CustomerId_1033,67,2,1050,525.0,1000,671.7514421272201,0,1
CustomerId_1034,9,16,63752,3984.5,28840,7657.736044898214,0,0
CustomerId_1036,91,3,2050,683.3333333333334,1000,548.4827557301445,0,0
CustomerId_1038,12,5,31000,6200.0,10000,3834.057902536163,0,0
CustomerId_1039,12,30,278257,9275.233333333334,22050,10019.705493928326,0,0
CustomerId_1040,38,1,50000,50000.0,50000,0.0,0,0
CustomerId_1043,47,6,36000,6000.0,10000,3464.1016151377544,0,0
CustomerId_1044,48,16,24268,1516.75,6000,2081.6966317565743,0,0
CustomerId_1048,43,1,1000,1000.0,1000,0.0,0,1
CustomerId_1050,54,1,5000,5000.0,5000,0.0,0,1
CustomerId_1052,24,7,59100,8442.857142857143,50000,18339.561712579824,0,0
CustomerId_1053,90,7,13812,1973.142857142857,4000,1907.3146418085148,0,0
CustomerId_1054,5,52,164700,3167.3076923076924,30000,6055.790816505553,0,0
CustomerId_1055,82,5,6150,1230.0,3000,1269.6456198483102,0,0
CustomerId_1056,56,4,5500,1375.0,3000,1108.6778913041726,0,0
CustomerId_1057,91,2,6246,3123.0,5750,3715.139028354121,0,1
CustomerId_1058,5,29,15809,545.1379310344828,2000,577.5383551974171,0,0
CustomerId_1059,12,9,62000,6888.888888888889,10000,3257.470047615344,0,0
CustomerId_1063,2,12,15675,1306.25,5000,1439.2692669293237,0,0
CustomerId_1064,6,42,256230,6100.714285714285,20000,5074.82987476819,0,0
CustomerId_1068,53,1,500,500.0,500,0.0,0,1
CustomerId_1070,26,1,5000,5000.0,5000,0.0,0,1
CustomerId_1071,3,7,241710,34530.0,120000,56701.49292567172,0,0
CustomerId_1073,72,1,1000,1000.0,1000,0.0,0,1
CustomerId_1074,5,46,268700,5841.304347826087,14500,3266.4337391076338,0,0
CustomerId_1078,47,6,41000,6833.333333333333,10000,3763.863263545405,0,0
CustomerId_1079,45,1,20000,20000.0,20000,0.0,0,0
CustomerId_1080,31,1,5000,5000.0,5000,0.0,0,1
CustomerId_1081,14,2,1500,750.0,1000,353.5533905932738,0,1
CustomerId_1082,47,5,31000,6200.0,10000,3834.057902536163,0,0
CustomerId_1083,32,1,500,500.0,500,0.0,0,1
CustomerId_1084,71,1,10000,10000.0,10000,0.0,0,0
CustomerId_1085,58,4,5100,1275.0,2000,914.2392101268318,0,0
CustomerId_1086,5,32,79354,2479.8125,15000,4109.689670707038,0,0
CustomerId_1087,33,9,62000,6888.888888888889,10000,3257.470047615344,0,0
CustomerId_1089,37,152,175729,1156.1118421052631,10000,1667.8173528620698,0,0
CustomerId_1091,25,2,3000,1500.0,2000,707.1067811865476,0,1
CustomerId_1092,19,16,97000,6062.5,10000,3473.110997362451,0,0
CustomerId_1093,33,55,81340,1478.909090909091,5200,1429.4027796241708,0,0
CustomerId_1094,25,7,46190,6598.571428571428,20000,8212.6537095132,0,0
CustomerId_1095,12,11,7125,647.7272727272727,2000,582.2858560722716,0,0
CustomerId_1096,7,784,2041334,2603.7423469387754,202000,17805.854249027667,0,0
CustomerId_1098,3,1,20000,20000.0,20000,0.0,0,0
CustomerId_1099,25,9,8220,913.3333333333334,2000,551.4526271584895,0,0
CustomerId_11,84,1,10000,10000.0,10000,0.0,0,0
CustomerId_1101,53,9,60000,6666.666666666667,15000,5873.670062235366,0,0
CustomerId_1102,6,14,92000,6571.428571428572,10000,3367.589544564382,0,0
CustomerId_1103,48,1,30000,30000.0,30000,0.0,0,0
CustomerId_1104,5,10,84400,8440.0,21000,5583.149250696739,0,0
CustomerId_1105,27,1,500,500.0,500,0.0,0,1
CustomerId_1106,88,1,10000,10000.0,10000,0.0,0,0
CustomerId_1108,2,14,112000,8000.0,20000,4607.685886729827,0,0
CustomerId_1109,47,8,52200,6525.0,10500,4241.546214025528,0,0
CustomerId_1111,69,3,2020,673.3333333333334,1000,565.8032638058332,0,0
CustomerId_1112,12,6,32000,5333.333333333333,10000,4033.195589934446,0,0
CustomerId_1113,65,23,42300,1839.1304347826087,10000,2889.792243308533,0,0
CustomerId_1114,1,57,59075,1036.4035087719299,2000,844.50204811663,0,0
CustomerId_1116,5,8,8040,1005.0,2000,748.3887454296157,0,0
CustomerId_1117,74,1,4000,4000.0,4000,0.0,0,1
CustomerId_1118,1,24,142000,5916.666666666667,11000,3670.28806672632,0,0
CustomerId_1119,27,7,5550,792.8571428571429,1000,376.8604642620522,0,0
CustomerId_1120,63,2,2040,1020.0,2000,1385.9292911256332,0,1
CustomerId_1121,16,7,14781,2111.5714285714284,5000,2044.351067139469,0,0
CustomerId_1122,65,1,1850000,1850000.0,1850000,0.0,1,1
CustomerId_1123,47,1,1000,1000.0,1000,0.0,0,1
CustomerId_1124,33,6,41000,6833.333333333333,10000,3763.863263545405,0,0
CustomerId_1125,32,1,5000,5000.0,5000,0.0,0,1
CustomerId_1127,5,37,95465,2580.135135135135,10000,2865.8637263306673,0,0
CustomerId_1129,75,2,1000,500.0,500,0.0,0,1
CustomerId_1130,78,4,6040,1510.0,3000,1275.5652341870511,0,0
CustomerId_1131,2,11,20170,1833.6363636363637,5000,2058.4327665837072,0,0
CustomerId_1134,1,9,3620,402.22222222222223,1000,402.8190591871795,0,0
CustomerId_1135,24,14,75000,5357.142857142857,40000,10394.337532871094,0,0
CustomerId_1137,54,20,161400,8070.0,20700,5262.988944656729,0,0
CustomerId_1140,45,3,6250,2083.3333333333335,5000,2553.592241007427,0,0
CustomerId_1141,9,49,227335,4639.489795918367,10000,3578.465139567806,0,0
CustomerId_1145,39,4,9500,2375.0,5000,1887.4586088176875,0,0
CustomerId_1146,47,6,41000,6833.333333333333,10000,3763.863263545405,0,0
CustomerId_1147,12,18,112000,6222.222222222223,10000,3750.3812442369353,0,0
CustomerId_1150,74,2,2000,1000.0,1000,0.0,0,1
CustomerId_1153,58,1,3000,3000.0,3000,0.0,0,1
CustomerId_1154,1,9,5725,636.1111111111111,2500,823.5888604826506,0,0
CustomerId_1156,2,368,1683725,4575.339673913043,49267,7931.9292553984,0,0
CustomerId_1158,89,8,51400,6425.0,10700,4383.980578684823,0,0
CustomerId_1159,5,5,32000,6400.0,10000,3781.5340802378078,0,0
CustomerId_1160,1,15,102000,6800.0,11000,3325.9177036464043,0,0
CustomerId_1161,25,1,2500,2500.0,2500,0.0,0,1
CustomerId_1162,6,7,6735,962.1428571428571,2300,882.4107940884504,0,0
CustomerId_1163,1,14,102000,7285.714285714285,11000,3148.3468538405855,0,0
CustomerId_1164,68,6,41000,6833.333333333333,10000,3763.863263545405,0,0
CustomerId_1165,36,5,66000,13200.0,30000,11777.09641634983,0,0
CustomerId_1169,5,3,2050,683.3333333333334,1000,548.4827557301445,0,0
CustomerId_1170,10,18,159334,8851.888888888889,59538,14171.143458737004,0,0
CustomerId_1171,45,6,7075,1179.1666666666667,2500,855.9229910842836,0,0
CustomerId_1172,14,84,248611,2959.654761904762,19500,4357.574694336752,0,0
CustomerId_1174,90,1,1000,1000.0,1000,0.0,0,1
CustomerId_1175,1,241,9072498,37645.21991701245,5000000,359355.15093513543,2,1
CustomerId_1177,4,4,28878,7219.5,25878,12439.0,0,0
CustomerId_1179,21,3,3100,1033.3333333333333,2000,950.4384952922169,0,0
CustomerId_1180,12,67,154554,2306.776119402985,11000,3136.55997542229,0,0
CustomerId_1182,6,4,22000,5500.0,10000,3696.845502136473,0,0
CustomerId_1183,20,18,66965,3720.277777777778,11200,4362.015343792033,0,0
CustomerId_1184,75,1,1000,1000.0,1000,0.0,0,1
CustomerId_1186,77,4,8100,2025.0,5000,2129.749594044646,0,0
CustomerId_1187,55,7,61000,8714.285714285714,20000,6047.4315681476355,0,0
CustomerId_1189,38,2,3000,1500.0,2000,707.1067811865476,0,1
CustomerId_1190,12,15,112000,7466.666666666667,10000,2996.8237153613795,0,0
CustomerId_1191,5,6,32500,5416.666666666667,10000,4152.308594826096,0,0
CustomerId_1192,5,22,43635,1983.409090909091,10000,3024.276137856571,0,0
CustomerId_1193,54,4,21000,5250.0,10000,3685.557397915997,0,0
CustomerId_1194,55,4,21000,5250.0,10000,3685.557397915997,0,0
CustomerId_1195,54,6,31000,5166.666666666667,10000,4070.2170294305765,0,0
CustomerId_1196,48,6,32000,5333.333333333333,10000,4143.2676315520175,0,0
CustomerId_1197,55,4,21000,5250.0,10000,3685.557397915997,0,0
CustomerId_1198,55,4,21000,5250.0,10000,3685.557397915997,0,0
CustomerId_12,84,1,10000,10000.0,10000,0.0,0,0
CustomerId_1200,48,4,21000,5250.0,10000,3685.557397915997,0,0
CustomerId_1201,2,173,752354,4348.867052023122,88966,9272.292478238029,0,0
CustomerId_1202,1,29,202000,6965.517241379311,11000,3755.7837171553506,0,0
CustomerId_1203,1,45,50270,1117.111111111111,12000,1859.733145840385,0,0
CustomerId_1204,47,4,21000,5250.0,10000,3685.557397915997,0,0
CustomerId_1208,85,9,20230,2247.777777777778,10000,3326.8445176239366,0,0
CustomerId_1209,20,6,42000,7000.0,10000,3687.817782917155,0,0
CustomerId_1210,77,3,50455,16818.333333333332,37595,18945.113046200946,0,0
CustomerId_1211,85,2,200000,100000.0,100000,0.0,0,0
CustomerId_1212,51,17,43000,2529.4117647058824,20000,4805.109872037573,0,0
CustomerId_1214,7,44,108175,2458.5227272727275,26500,5657.534961154084,0,0
CustomerId_1215,74,1,1000,1000.0,1000,0.0,0,1
CustomerId_1217,48,9,52000,5777.777777777777,10000,3641.008712492246,0,0
CustomerId_1218,1,72,141945,1971.4583333333333,5000,1923.9620280981067,0,0
CustomerId_1219,26,6,4150,691.6666666666666,2000,792.0963746077031,0,0
CustomerId_1220,19,13,62000,4769.2307692307695,10000,3966.607411753066,0,0
CustomerId_1221,6,5,32000,6400.0,10000,3781.5340802378078,0,0
CustomerId_1222,10,45,87130,1936.2222222222222,52000,7691.672899633051,0,0
CustomerId_1223,4,3,21500,7166.666666666667,20000,11116.804097101529,0,0
CustomerId_1224,6,1,10000,10000.0,10000,0.0,0,0
CustomerId_1225,9,1,1000,1000.0,1000,0.0,0,1
CustomerId_1226,44,8,13300,1662.5,6000,2032.7233667457767,0,0
CustomerId_1227,14,26,86427,3324.1153846153848,10000,3217.1772015470087,0,0
CustomerId_1228,12,5,32000,6400.0,10000,3781.5340802378078,0,0
CustomerId_1229,16,3,2050,683.3333333333334,1000,548.4827557301445,0,0
CustomerId_1231,37,1,2000,2000.0,2000,0.0,0,1
CustomerId_1232,16,1,5000,5000.0,5000,0.0,0,1
CustomerId_1233,28,1,1000,1000.0,1000,0.0,0,1
CustomerId_1234,54,12,81400,6783.333333333333,10700,3844.9100552982163,0,0
CustomerId_1235,47,6,31000,5166.666666666667,10000,4155.317877932645,0,0
CustomerId_1236,45,8,11235,1404.375,5000,1955.3067671266901,0,0
CustomerId_1237,29,1,1000,1000.0,1000,0.0,0,1
CustomerId_1238,5,5,32000,6400.0,10000,3781.5340802378078,0,0
CustomerId_1240,45,6,46000,7666.666666666667,15000,4966.55480858378,0,0
CustomerId_1241,26,7,42000,6000.0,10000,4082.48290463863,0,0
CustomerId_1242,6,152,1203810,7919.8026315789475,31000,7490.326992251669,0,0
CustomerId_1244,88,1,5000,5000.0,5000,0.0,0,1
CustomerId_1245,5,29,199250,6870.689655172414,15000,3475.4372089139297,0,0
CustomerId_1246,26,19,121000,6368.421052631579,10000,3467.4762887243364,0,0
CustomerId_1247,1,13,112000,8615.384615384615,21000,5220.7672095593625,0,0
CustomerId_1250,4,273,699514,2562.322344322344,39000,4551.995610215151,0,0
CustomerId_1252,13,19,122000,6421.0526315789475,10000,3449.086666120374,0,0
CustomerId_1253,13,5,32000,6400.0,10000,3781.5340802378078,0,0
CustomerId_1256,33,6,42000,7000.0,11000,3949.6835316263,0,0
CustomerId_1257,13,12,17395,1449.5833333333333,5000,1878.3266952908978,0,0
CustomerId_1258,12,7,42000,6000.0,10000,4173.328008516305,0,0
CustomerId_1259,69,16,17787,1111.6875,5000,1591.467528991193,0,0
CustomerId_1260,6,9,62000,6888.888888888889,10000,3257.470047615344,0,0
CustomerId_1262,26,9,10160,1128.888888888889,2000,769.9422777787379,0,0
CustomerId_1263,54,5,31000,6200.0,10000,3834.057902536163,0,0
CustomerId_1265,22,97,278900,2875.257731958763,24000,4561.563794993879,0,0
CustomerId_1266,16,20,10120,506.0,1195,440.19612853698214,0,0
